School,Conference
North Carolina,ACC
Duke,ACC
NC State,ACC
Virginia,ACC
Wake Forest,ACC
Clemson,ACC
Georgia Tech,ACC
Florida State,ACC
Miami (FL),ACC
Virginia Tech,ACC
Boston College,ACC
Notre Dame,ACC
Syracuse,ACC
Louisville,ACC
Pittsburgh,ACC
Pittsburgh,ACC
Kansas,Big 12
Texas,Big 12
Oklahoma,Big 12
Oklahoma State,Big 12
Baylor,Big 12
Iowa State,Big 12
Kansas State,Big 12
Texas Tech,Big 12
West Virginia,Big 12
TCU,Big 12
Indiana,Big Ten
Purdue,Big Ten
Illinois,Big Ten
Ohio State,Big Ten
Iowa,Big Ten
Minnesota,Big Ten
Wisconsin,Big Ten
Michigan,Big Ten
Michigan State,Big Ten
Northwestern,Big Ten
Penn State,Big Ten
Maryland,Big Ten
Nebraska,Big Ten
Rutgers,Big Ten
Rutgers,Big Ten
Villanova,Big East
Georgetown,Big East
Connecticut,Big East
St. John's (NY),Big East
Providence,Big East
Seton Hall,Big East
Marquette,Big East
Xavier,Big East
DePaul,Big East
Creighton,Big East
Butler,Big East
UCLA,PAC-12
Washington,PAC-12
California,PAC-12
Oregon,PAC-12
Southern California,PAC-12
Oregon State,PAC-12
Stanford,PAC-12
Washington State,PAC-12
Arizona,PAC-12
Arizona State,PAC-12
Colorado,PAC-12
Utah,PAC-12
Kentucky,SEC
Alabama,SEC
Tennessee,SEC
Florida,SEC
Vanderbilt,SEC
Louisiana State,SEC
Auburn,SEC
Mississippi State,SEC
Georgia,SEC
Mississippi,SEC
Arkansas,SEC
South Carolina,SEC
Texas A&M,SEC
Missouri,SEC