name,player_link,school,ast_per_g,fg3_pct,ft_pct,g_col,mp_per_g,n_season,pts_per_g,trb_per_g
James Akinjo,/cbb/players/james-akinjo-1.html,Baylor,5.8,.295,.835,32,33.1,4.0,13.5,2.8
Adam Flagler,/cbb/players/adam-flagler-1.html,Baylor,3.0,.387,.741,31,30.7,4.0,13.8,2.2
Kendall Brown,/cbb/players/kendall-brown-1.html,Baylor,1.9,.341,.689,34,27.0,1.0,9.7,4.9
Matthew Mayer,/cbb/players/matthew-mayer-1.html,Baylor,1.0,.324,.700,33,22.8,4.0,9.8,5.0
Jeremy Sochan,/cbb/players/jeremy-sochan-1.html,Baylor,1.8,.296,.589,30,25.1,1.0,9.2,6.4
Flo Thamba,/cbb/players/flo-thamba-1.html,Baylor,0.3,,.589,34,20.5,4.0,6.2,5.6
Jonathan Tchamwa Tchatchoua,/cbb/players/jonathan-tchamwatchatchoua-1.html,Baylor,0.7,.462,.771,25,20.8,4.0,8.4,6.8
Dale Bonner,/cbb/players/dale-bonner-1.html,Baylor,1.5,.192,.741,31,17.3,1.0,3.1,1.2
Joe Bryant,/cbb/players/joe-bryantjr-1.html,Norfolk State,3.2,.348,.915,31,32.5,4.0,16.7,5.1
Kris Bankston,/cbb/players/kris-bankston-1.html,Norfolk State,1.0,,.539,31,27.4,5.0,11.0,6.8
Jalen Hawkins,/cbb/players/jalen-hawkins-1.html,Norfolk State,1.6,.355,.692,27,27.7,3.0,12.9,3.7
Dana Tate,/cbb/players/dana-tatejr-1.html,Norfolk State,1.1,.425,.729,27,25.1,1.0,9.6,5.6
Tyrese Jenkins,/cbb/players/tyrese-jenkins-1.html,Norfolk State,1.6,.317,.667,30,24.1,3.0,6.6,4.4
Christian Ings,/cbb/players/christian-ings-1.html,Norfolk State,2.5,.405,.687,25,23.3,3.0,8.9,2.4
Nyzaiah Chambers,/cbb/players/nyzaiah-chambers-1.html,Norfolk State,0.4,.500,.595,30,12.5,3.0,3.1,3.5
Daryl Anderson,/cbb/players/daryl-anderson-1.html,Norfolk State,0.3,.358,.545,30,15.5,3.0,2.9,1.8
Chris Ford,/cbb/players/chris-ford-4.html,Norfolk State,0.2,,.632,26,7.2,4.0,1.5,1.3
Armando Bacot,/cbb/players/armando-bacot-1.html,UNC,1.5,.125,.670,39,31.6,3.0,16.3,13.1
Brady Manek,/cbb/players/brady-manek-1.html,UNC,1.8,.403,.697,39,30.4,5.0,15.1,6.1
RJ Davis,/cbb/players/rj-davis-1.html,UNC,3.6,.367,.833,39,33.9,2.0,13.5,4.3
Caleb Love,/cbb/players/caleb-love-1.html,UNC,3.6,.360,.863,39,34.2,2.0,15.9,3.4
Leaky Black,/cbb/players/rechon-black-1.html,UNC,2.7,.333,.868,38,29.7,4.0,4.9,4.3
Kerwin Walton,/cbb/players/kerwin-walton-1.html,UNC,0.4,.354,1.000,31,13.3,2.0,3.4,1.2
Dontrez Styles,/cbb/players/dontrez-styles-1.html,UNC,0.1,.167,.533,30,5.8,1.0,2.0,1.4
Justin McKoy,/cbb/players/justin-mckoy-1.html,UNC,0.5,.231,.800,30,7.0,3.0,1.0,1.4
Justin Lewis,/cbb/players/justin-lewis-1.html,Marquette,1.7,.349,.761,32,32.2,2.0,16.8,7.9
Kur Kuath,/cbb/players/kur-kuath-1.html,Marquette,0.6,,.552,32,19.0,6.0,5.6,3.9
Oso Ighodaro,/cbb/players/oso-ighodaro-1.html,Marquette,0.9,,.738,32,18.2,2.0,5.5,3.3
Darryl Morsell,/cbb/players/darryl-morsell-1.html,Marquette,2.5,.347,.771,31,29.7,5.0,13.4,3.6
Olivier-Maxence Prosper,/cbb/players/olivier-maxence-prosper-1.html,Marquette,0.9,.317,.820,32,20.7,2.0,6.6,3.3
Greg Elliott,/cbb/players/greg-elliott-1.html,Marquette,1.3,.386,.887,28,16.8,4.0,7.0,2.0
Tyler Kolek,/cbb/players/tyler-kolek-1.html,Marquette,5.9,.281,.810,32,29.3,2.0,6.7,3.7
Kameron Jones,/cbb/players/kam-jones-1.html,Marquette,1.2,.392,.611,31,18.5,1.0,7.4,1.4
Stevie Mitchell,/cbb/players/stevie-mitchell-1.html,Marquette,0.9,.350,.560,32,10.8,1.0,2.8,1.4
David Joplin,/cbb/players/david-joplin-1.html,Marquette,0.2,.288,.500,32,6.9,1.0,2.8,0.9
Matthias Tass,/cbb/players/matthias-tass-1.html,Saint Mary's,2.1,.111,.796,34,28.9,4.0,12.6,6.1
Tommy Kuhse,/cbb/players/tommy-kuhse-1.html,Saint Mary's,3.7,.450,.808,34,30.0,5.0,12.2,3.7
Logan Johnson,/cbb/players/logan-johnson-2.html,Saint Mary's,2.6,.318,.720,34,31.7,4.0,11.9,4.1
Kyle Bowen,/cbb/players/kyle-bowen-1.html,Saint Mary's,1.3,.392,.714,34,29.4,3.0,5.6,5.5
Alex Ducas,/cbb/players/alex-ducas-1.html,Saint Mary's,0.9,.387,.820,34,29.8,3.0,10.3,3.7
Dan Fotu,/cbb/players/dan-fotu-1.html,Saint Mary's,0.5,.333,.754,34,13.9,4.0,6.3,3.0
Jabe Mullins,/cbb/players/jabe-mullins-1.html,Saint Mary's,0.3,.373,.667,34,9.6,2.0,2.9,1.0
Mitchell Saxen,/cbb/players/mitchell-saxen-1.html,Saint Mary's,0.1,,.542,28,7.4,2.0,3.3,2.3
Augustas Marciulionis,/cbb/players/augustas-marciulionis-1.html,Saint Mary's,1.8,.183,.839,34,15.1,1.0,3.1,1.0
Trayce Jackson-Davis,/cbb/players/trayce-jackson-davis-1.html,Indiana,1.9,.000,.674,35,32.3,3.0,18.3,8.1
Race Thompson,/cbb/players/race-thompson-1.html,Indiana,1.4,.273,.652,35,28.5,4.0,11.1,7.5
Xavier Johnson,/cbb/players/xavier-johnson-2.html,Indiana,5.1,.383,.782,34,27.7,4.0,12.1,3.8
Parker Stewart,/cbb/players/parker-stewart-1.html,Indiana,1.0,.393,.643,34,24.4,4.0,6.2,2.1
Miller Kopp,/cbb/players/miller-kopp-1.html,Indiana,1.1,.361,.865,35,25.1,4.0,6.0,2.5
Jordan Geronimo,/cbb/players/jordan-geronimo-1.html,Indiana,0.3,.310,.568,34,12.6,2.0,4.4,3.6
Tamar Bates,/cbb/players/tamar-bates-1.html,Indiana,0.6,.298,.833,32,14.5,1.0,3.9,1.3
Rob Phinisee,/cbb/players/rob-phinisee-1.html,Indiana,1.7,.264,.412,25,18.3,4.0,4.5,2.1
Michael Durr,/cbb/players/michael-durr-1.html,Indiana,0.5,.000,.731,30,7.1,4.0,1.5,1.0
Jaime Jaquez,/cbb/players/jaime-jaquezjr-1.html,UCLA,2.3,.276,.761,34,30.5,3.0,13.9,5.7
Jules Bernard,/cbb/players/jules-bernard-1.html,UCLA,1.7,.337,.818,35,30.1,4.0,12.8,4.7
Tyger Campbell,/cbb/players/tyger-campbell-1.html,UCLA,4.3,.410,.838,33,32.4,3.0,11.9,2.5
Johnny Juzang,/cbb/players/johnny-juzang-1.html,UCLA,1.8,.360,.835,30,31.8,3.0,15.6,4.7
Myles Johnson,/cbb/players/myles-johnson-1.html,UCLA,0.7,,.533,35,18.1,4.0,3.6,5.4
Jaylen Clark,/cbb/players/jaylen-clark-1.html,UCLA,1.0,.259,.542,29,18.1,2.0,6.7,3.8
David Singleton,/cbb/players/david-singleton-2.html,UCLA,0.9,.451,.600,33,16.7,4.0,4.8,1.5
Cody Riley,/cbb/players/cody-riley-1.html,UCLA,1.0,.500,.672,26,21.6,4.0,7.3,3.9
Peyton Watson,/cbb/players/peyton-watson-1.html,UCLA,0.8,.226,.688,32,12.7,1.0,3.3,2.9
Enrique Freeman,/cbb/players/enrique-freeman-1.html,Akron,1.4,.000,.649,34,28.8,3.0,13.2,10.8
Xavier Castaneda,/cbb/players/xavier-castaneda-1.html,Akron,2.3,.373,.823,34,31.9,4.0,13.6,3.6
Ali Ali,/cbb/players/ali-ali-1.html,Akron,2.5,.407,.722,34,34.2,3.0,13.9,2.9
Mikal Dawson,/cbb/players/mikal-dawson-1.html,Akron,0.8,.360,.686,34,24.3,3.0,5.9,3.4
Greg Tribble,/cbb/players/greg-tribble-1.html,Akron,2.2,.222,.701,33,25.8,3.0,7.2,2.8
Aziz Bandaogo,/cbb/players/aziz-bandaogo-1.html,Akron,0.3,,.483,33,12.2,2.0,3.2,3.3
Garvin Clarke,/cbb/players/garvin-clarke-1.html,Akron,1.1,.339,.667,34,14.4,2.0,3.3,2.5
Timmy Allen,/cbb/players/timmy-allen-1.html,Texas,2.1,.267,.731,34,29.0,4.0,12.1,6.4
Marcus Carr,/cbb/players/marcus-carr-2.html,Texas,3.4,.338,.769,34,30.9,5.0,11.4,1.9
Andrew Jones,/cbb/players/andrew-jones-3.html,Texas,1.6,.320,.814,33,26.3,6.0,11.2,2.8
Christian Bishop,/cbb/players/christian-bishop-1.html,Texas,0.7,.333,.675,34,20.0,4.0,7.0,5.6
Courtney Ramey,/cbb/players/courtney-ramey-1.html,Texas,1.6,.350,.765,34,30.1,4.0,9.4,3.5
Brock Cunningham,/cbb/players/brock-cunningham-1.html,Texas,0.6,.478,.813,34,11.7,3.0,2.3,2.3
Jase Febres,/cbb/players/jase-febres-1.html,Texas,0.4,.329,.750,31,13.8,5.0,3.9,1.5
Devin Askew,/cbb/players/devin-askew-1.html,Texas,1.3,.320,.545,34,14.9,2.0,2.1,0.9
Dylan Disu,/cbb/players/dylan-disu-1.html,Texas,0.4,.133,.813,26,10.9,3.0,3.7,3.2
Keve Aluma,/cbb/players/keve-aluma-1.html,Virginia Tech,1.9,.333,.785,36,30.8,5.0,15.8,6.5
Justyn Mutts,/cbb/players/justyn-mutts-1.html,Virginia Tech,3.4,.333,.675,36,29.9,5.0,10.1,7.4
Hunter Cattoor,/cbb/players/hunter-cattoor-1.html,Virginia Tech,2.0,.417,.720,36,32.9,3.0,10.0,4.0
Nahiem Alleyne,/cbb/players/nahiem-alleyne-1.html,Virginia Tech,1.5,.373,.852,36,31.1,3.0,9.6,2.8
Darius Maddox,/cbb/players/darius-maddox-2.html,Virginia Tech,0.5,.506,.788,36,17.0,2.0,6.4,1.9
Storm Murphy,/cbb/players/storm-murphy-1.html,Virginia Tech,2.9,.358,.750,36,26.9,5.0,8.0,1.9
Sean Pedulla,/cbb/players/sean-pedulla-1.html,Virginia Tech,1.3,.447,.900,36,12.9,1.0,5.4,1.2
David N'Guessan,/cbb/players/david-nguessan-1.html,Virginia Tech,0.7,.267,.533,36,13.5,2.0,3.7,2.7
Zach Edey,/cbb/players/zach-edey-1.html,Purdue,1.2,,.649,37,19.0,2.0,14.4,7.7
Jaden Ivey,/cbb/players/jaden-ivey-1.html,Purdue,3.1,.358,.744,36,31.4,2.0,17.3,4.9
Trevion Williams,/cbb/players/trevion-williams-1.html,Purdue,3.0,.357,.597,37,20.1,4.0,12.0,7.4
Sasha Stefanovic,/cbb/players/sasha-stefanovic-1.html,Purdue,3.0,.380,.867,37,30.4,4.0,10.4,2.5
Mason Gillis,/cbb/players/mason-gillis-1.html,Purdue,1.1,.414,.850,33,23.5,3.0,6.4,4.8
Eric Hunter,/cbb/players/eric-hunterjr-1.html,Purdue,2.0,.436,.685,37,25.8,4.0,6.2,2.1
Caleb Furst,/cbb/players/caleb-furst-1.html,Purdue,0.4,.423,.717,34,14.6,1.0,4.1,3.2
Isaiah Thompson,/cbb/players/isaiah-thompson-1.html,Purdue,0.9,.424,.793,37,16.4,3.0,4.2,1.0
Ethan Morton,/cbb/players/ethan-morton-1.html,Purdue,1.4,.441,.684,37,14.8,2.0,2.4,1.4
Brandon Newman,/cbb/players/brandon-newman-2.html,Purdue,0.6,.321,.792,25,12.6,3.0,4.6,1.9
Azar Swain,/cbb/players/azar-swain-1.html,Yale,1.6,.348,.891,31,33.0,4.0,19.2,4.1
Jalen Gabbidon,/cbb/players/jalen-gabbidon-1.html,Yale,1.5,.299,.806,31,28.3,3.0,11.3,3.6
Matt Knowling,/cbb/players/matt-knowling-1.html,Yale,1.3,.500,.685,31,21.6,1.0,7.2,4.0
Isaiah Kelly,/cbb/players/isaiah-kelly-1.html,Yale,1.5,.333,.627,30,21.7,3.0,6.1,4.2
Matthue Cotton,/cbb/players/matthue-cotton-1.html,Yale,1.0,.319,.676,31,22.5,3.0,7.1,3.6
Bez Mbeng,/cbb/players/bez-mbeng-1.html,Yale,1.9,.269,.717,28,19.9,1.0,4.8,3.1
August Mahoney,/cbb/players/august-mahoney-1.html,Yale,0.9,.373,.800,29,14.7,2.0,4.0,2.6
K.J. Williams,/cbb/players/kj-williams-1.html,Murray State,0.7,.327,.699,34,29.0,4.0,18.0,8.4
Tevin Brown,/cbb/players/tevin-brown-1.html,Murray State,3.1,.384,.748,34,35.2,4.0,16.8,5.6
Justice Hill,/cbb/players/justice-hill-1.html,Murray State,5.1,.358,.744,34,31.3,3.0,13.4,2.3
DJ Burns,/cbb/players/dj-burns-2.html,Murray State,0.9,.000,.721,34,25.5,1.0,5.8,6.3
Trae Hannibal,/cbb/players/trae-hannibal-1.html,Murray State,2.5,.308,.718,34,21.9,3.0,9.2,5.1
Carter Collins,/cbb/players/carter-collins-1.html,Murray State,1.2,.315,.857,33,20.9,5.0,4.3,1.7
Nicholas McMullen,/cbb/players/nicholas-mcmullen-1.html,Murray State,0.3,,.429,34,9.9,2.0,3.2,2.9
Jordan Skipper-Brown,/cbb/players/jordan-skipper-brown-1.html,Murray State,0.6,.500,.479,25,13.2,3.0,4.2,2.8
DaQuan Smith,/cbb/players/daquan-smith-1.html,Murray State,0.2,.324,.813,33,12.8,4.0,3.5,1.2
Jamaree Bouyea,/cbb/players/jamaree-bouyea-1.html,San Francisco,4.0,.367,.755,34,36.2,5.0,17.3,5.0
Yauhen Massalski,/cbb/players/yauhen-massalski-1.html,San Francisco,1.6,.222,.512,32,27.2,5.0,13.5,9.4
Khalil Shabazz,/cbb/players/khalil-shabazz-1.html,San Francisco,2.1,.345,.845,34,30.0,3.0,13.7,3.2
Patrick Tape,/cbb/players/patrick-tape-1.html,San Francisco,1.1,.571,.733,34,20.7,6.0,5.1,4.5
Julian Rishwain,/cbb/players/julian-rishwain-1.html,San Francisco,0.7,.430,.766,34,19.2,3.0,7.4,3.0
Gabe Stefanini,/cbb/players/gabe-stefanini-1.html,San Francisco,2.1,.357,.790,34,24.5,3.0,9.5,2.5
Josh Kunen,/cbb/players/josh-kunen-1.html,San Francisco,0.8,.305,.611,34,19.7,3.0,4.3,3.3
Zane Meeks,/cbb/players/zane-meeks-1.html,San Francisco,0.7,.320,.667,27,14.0,3.0,5.0,2.3
Volodymyr Markovetskyy,/cbb/players/volodymyr-markovetskyy-1.html,San Francisco,0.0,,.600,26,6.6,3.0,1.8,1.5
Oscar Tshiebwe,/cbb/players/oscar-tshiebwe-1.html,Kentucky,1.1,,.691,34,31.9,3.0,17.4,15.2
Kellan Grady,/cbb/players/kellan-grady-1.html,Kentucky,1.3,.415,.744,34,32.9,5.0,11.4,2.1
TyTy Washington,/cbb/players/tyty-washingtonjr-1.html,Kentucky,3.9,.350,.750,31,29.2,1.0,12.5,3.5
Keion Brooks,/cbb/players/keion-brooksjr-1.html,Kentucky,1.0,.233,.783,33,24.5,3.0,10.8,4.4
Sahvir Wheeler,/cbb/players/sahvir-wheeler-1.html,Kentucky,6.9,.308,.780,30,31.2,3.0,10.1,2.6
Davion Mintz,/cbb/players/davion-mintz-1.html,Kentucky,1.8,.344,.701,31,24.7,6.0,8.5,2.2
Jacob Toppin,/cbb/players/jacob-toppin-1.html,Kentucky,1.1,.400,.745,29,17.7,3.0,6.2,3.2
Daimion Collins,/cbb/players/daimion-collins-1.html,Kentucky,0.1,.000,.857,27,7.4,1.0,2.9,2.0
Lance Ware,/cbb/players/lance-ware-1.html,Kentucky,0.1,.000,.435,28,6.3,2.0,1.5,1.9
Bryce Hopkins,/cbb/players/bryce-hopkins-1.html,Kentucky,0.3,.313,.538,28,6.5,1.0,2.1,1.4
Doug Edert,/cbb/players/doug-edert-1.html,St. Peter's,0.9,.411,.887,33,23.9,3.0,9.5,2.5
Fousseyni Drame,/cbb/players/fousseyni-drame-1.html,St. Peter's,0.7,.364,.627,33,22.7,3.0,7.0,6.4
Daryl Banks,/cbb/players/daryl-banks-iii-1.html,St. Peter's,1.4,.367,.859,34,26.7,3.0,11.3,2.6
KC Ndefo,/cbb/players/kenechukwu-ndefo-1.html,St. Peter's,2.4,.286,.537,34,25.9,4.0,10.5,6.1
Hassan Drame,/cbb/players/hassan-drame-1.html,St. Peter's,0.8,.346,.737,34,21.3,3.0,6.0,5.3
Matthew Lee,/cbb/players/matthew-lee-3.html,St. Peter's,2.9,.337,.747,30,23.7,3.0,6.8,1.8
Clarence Rupert,/cbb/players/clarence-rupert-1.html,St. Peter's,0.7,.200,.524,30,13.4,1.0,4.4,2.6
Isiah Dasher,/cbb/players/isiah-dasher-1.html,St. Peter's,0.8,.309,.795,34,18.0,4.0,4.8,2.3
Oumar Diahame,/cbb/players/oumar-diahame-1.html,St. Peter's,0.0,.000,.600,25,9.2,2.0,1.9,2.0
Jaylen Murray,/cbb/players/jaylen-murray-1.html,St. Peter's,1.6,.328,.649,33,15.6,1.0,5.8,1.6
Ochai Agbaji,/cbb/players/ochai-agbaji-1.html,Kansas,1.6,.407,.743,39,35.1,4.0,18.8,5.1
Christian Braun,/cbb/players/christian-braun-1.html,Kansas,2.8,.386,.733,40,34.4,3.0,14.1,6.5
Jalen Wilson,/cbb/players/jalen-wilson-1.html,Kansas,1.8,.263,.722,37,29.4,3.0,11.1,7.4
David McCormack,/cbb/players/david-mccormack-1.html,Kansas,0.9,.000,.756,40,21.9,4.0,10.6,7.0
Dajuan Harris,/cbb/players/dajuan-harris-1.html,Kansas,4.2,.323,.792,40,29.0,3.0,5.4,1.4
Remy Martin,/cbb/players/remy-martin-2.html,Kansas,2.5,.382,.754,30,21.1,5.0,8.6,3.0
Mitch Lightfoot,/cbb/players/mitch-lightfoot-1.html,Kansas,0.4,.500,.523,40,12.2,6.0,4.6,2.8
Jalen Coleman-Lands,/cbb/players/jalen-coleman-lands-1.html,Kansas,0.3,.448,.750,39,8.2,7.0,3.7,0.7
KJ Adams Jr,/cbb/players/kj-adamsjr-1.html,Kansas,0.3,.000,.600,37,4.8,1.0,1.0,0.8
Joseph Yesufu,/cbb/players/joseph-yesufu-1.html,Kansas,1.0,.262,.700,34,9.3,3.0,2.1,0.9
Brison Gresham,/cbb/players/brison-gresham-1.html,Texas Southern,0.4,.000,.698,31,19.7,6.0,7.3,6.9
John Walker,/cbb/players/john-walkeriii-1.html,Texas Southern,1.0,.422,.729,29,22.5,5.0,10.2,4.3
Joirdon Karl Nicholas,/cbb/players/karl-nicholas-1.html,Texas Southern,1.0,.000,.515,32,20.7,5.0,9.0,6.1
Bryson Etienne,/cbb/players/bryson-etienne-1.html,Texas Southern,1.5,.317,.804,30,22.1,2.0,8.8,2.8
PJ Henry,/cbb/players/pj-henry-1.html,Texas Southern,1.4,.349,.684,31,23.7,3.0,8.4,2.8
Justin Hopkins,/cbb/players/justin-hopkins-1.html,Texas Southern,1.1,.246,.784,32,19.8,6.0,6.0,2.0
Jordan Gilliam,/cbb/players/jordan-gilliam-1.html,Texas Southern,2.2,.333,.667,30,23.9,5.0,4.5,2.9
Yahuza Rasas,/cbb/players/yahuza-rasas-1.html,Texas Southern,0.6,.154,.636,30,17.4,3.0,4.5,4.6
John Jones,/cbb/players/john-jones-6.html,Texas Southern,0.5,.333,.829,32,13.8,5.0,5.9,0.9
A.J. Lawson,/cbb/players/aj-lawson-1.html,Texas Southern,1.4,.254,.500,29,21.5,6.0,6.1,3.4
Matt Bradley,/cbb/players/matt-bradley-1.html,San Diego State,2.7,.401,.779,32,31.5,4.0,16.9,5.4
Nathan Mensah,/cbb/players/nathan-mensah-1.html,San Diego State,0.6,.250,.533,32,24.8,4.0,7.0,6.9
Keshad Johnson,/cbb/players/keshad-johnson-1.html,San Diego State,1.0,.182,.644,32,23.8,3.0,7.2,4.5
Trey Pulliam,/cbb/players/trey-pulliam-1.html,San Diego State,3.4,.333,.677,31,30.9,3.0,8.7,2.5
Chad Baker-Mazara,/cbb/players/chad-baker-mazara-1.html,San Diego State,0.6,.393,.898,31,12.8,1.0,6.4,2.0
Adam Seiko,/cbb/players/adam-seiko-1.html,San Diego State,0.9,.404,.682,29,23.5,4.0,5.3,2.0
Lamont Butler,/cbb/players/lamont-butler-1.html,San Diego State,2.1,.329,.773,27,25.4,2.0,7.3,2.1
Aguek Arop,/cbb/players/aguek-arop-1.html,San Diego State,0.5,.333,.440,25,15.0,4.0,3.5,3.3
Joshua Tomaic,/cbb/players/joshua-tomaic-1.html,San Diego State,0.4,.393,.727,31,12.4,5.0,2.9,2.0
Tahirou Diabate,/cbb/players/tahirou-diabate-1.html,San Diego State,0.1,.000,.500,25,8.1,4.0,2.0,2.2
Ryan Kalkbrenner,/cbb/players/ryan-kalkbrenner-1.html,Creighton,0.9,.250,.736,34,29.4,2.0,13.1,7.7
Ryan Hawkins,/cbb/players/ryan-hawkins-1.html,Creighton,1.5,.358,.800,35,34.9,1.0,13.8,7.8
Alex O'Connell,/cbb/players/alex-oconnell-1.html,Creighton,2.1,.327,.818,35,32.5,5.0,11.8,5.3
Trey Alexander,/cbb/players/trey-alexander-1.html,Creighton,2.5,.281,.818,35,26.6,1.0,7.4,3.7
Arthur Kaluma,/cbb/players/arthur-kaluma-1.html,Creighton,1.3,.265,.671,31,26.8,1.0,10.4,5.4
Ryan Nembhard,/cbb/players/ryan-nembhard-1.html,Creighton,4.4,.311,.732,27,34.8,1.0,11.3,3.1
KeyShawn Feazell,/cbb/players/keyshawn-feazell-1.html,Creighton,0.5,.286,.520,35,9.9,5.0,3.1,2.3
Rati Andronikashvili,/cbb/players/rati-andronikashvili-1.html,Creighton,1.1,.207,.621,33,13.7,1.0,1.8,1.0
Keegan Murray,/cbb/players/keegan-murray-1.html,Iowa,1.5,.398,.747,35,31.9,2.0,23.5,8.7
Jordan Bohannon,/cbb/players/jordan-bohannon-1.html,Iowa,1.8,.382,.889,36,26.9,6.0,11.0,1.3
Kris Murray,/cbb/players/kris-murray-1.html,Iowa,1.1,.387,.645,35,17.9,2.0,9.7,4.3
Patrick McCaffery,/cbb/players/patrick-mccaffery-1.html,Iowa,1.6,.330,.714,32,24.2,3.0,10.5,3.6
Filip Rebraca,/cbb/players/filip-rebraca-1.html,Iowa,0.7,.167,.603,36,21.3,4.0,5.8,5.6
Tony Perkins,/cbb/players/tony-perkins-1.html,Iowa,1.6,.321,.800,36,18.3,2.0,7.4,2.4
Joe Toussaint,/cbb/players/joe-toussaint-1.html,Iowa,3.2,.257,.839,36,17.4,3.0,4.3,1.7
Connor McCaffery,/cbb/players/connor-mccaffery-1.html,Iowa,1.9,.338,.722,34,17.0,5.0,2.5,2.5
Payton Sandfort,/cbb/players/payton-sandfort-1.html,Iowa,0.6,.366,.938,34,10.5,1.0,5.0,1.9
Ahron Ulis,/cbb/players/ahron-ulis-1.html,Iowa,2.1,.333,.792,35,13.9,2.0,3.1,2.0
Jacob Gilyard,/cbb/players/jacob-gilyard-1.html,Richmond,5.4,.360,.860,37,38.5,5.0,13.3,3.5
Tyler Burton,/cbb/players/tyler-burton-1.html,Richmond,1.0,.365,.791,37,33.0,3.0,16.1,7.7
Grant Golden,/cbb/players/grant-golden-1.html,Richmond,2.9,.280,.706,37,27.6,6.0,13.7,6.0
Nathan Cayo,/cbb/players/nathan-cayo-1.html,Richmond,1.8,,.465,37,26.6,5.0,9.1,4.4
Matt Grace,/cbb/players/matt-grace-1.html,Richmond,1.0,.284,.870,37,15.4,4.0,4.1,2.4
Andre Gustavson,/cbb/players/andre-gustavson-1.html,Richmond,1.1,.308,.692,28,24.5,4.0,4.5,2.5
Nick Sherod,/cbb/players/nick-sherod-1.html,Richmond,0.3,.339,.750,37,15.2,6.0,6.0,1.8
Connor Crabtree,/cbb/players/connor-crabtree-1.html,Richmond,0.4,.310,.750,35,7.7,4.0,2.0,1.0
Isaiah Wilson,/cbb/players/isaiah-wilson-1.html,Richmond,0.7,.243,.621,33,14.8,2.0,2.3,1.1
Noah Horchler,/cbb/players/noah-horchler-1.html,Providence,1.5,.401,.769,33,33.2,5.0,9.9,8.5
Nate Watson,/cbb/players/nate-watson-1.html,Providence,0.5,,.583,33,28.0,5.0,13.3,5.2
Jared Bynum,/cbb/players/jared-bynum-1.html,Providence,4.0,.413,.752,29,27.6,4.0,12.2,2.9
Aljami Durham,/cbb/players/aljami-durham-1.html,Providence,3.4,.237,.834,31,34.3,5.0,13.6,3.4
Justin Minaya,/cbb/players/justin-minaya-1.html,Providence,1.6,.317,.558,32,33.2,5.0,6.5,5.5
A.J. Reeves,/cbb/players/aj-reeves-1.html,Providence,2.0,.373,.787,28,25.3,4.0,9.9,2.8
Ed Croswell,/cbb/players/ed-croswell-1.html,Providence,0.3,.000,.558,33,14.8,4.0,5.3,4.7
Alyn Breed,/cbb/players/alyn-breed-1.html,Providence,0.8,.214,.809,33,13.0,2.0,3.2,1.2
Baylor Scheierman,/cbb/players/baylor-scheierman-1.html,South Dakota State,4.5,.469,.802,35,33.3,3.0,16.2,7.8
Douglas Wilson,/cbb/players/doug-wilson-3.html,South Dakota State,1.6,.333,.684,34,25.0,3.0,16.4,5.5
Charlie Easley,/cbb/players/charlie-easley-1.html,South Dakota State,1.3,.500,.775,35,25.2,3.0,7.9,3.3
Zeke Mayo,/cbb/players/zeke-mayo-1.html,South Dakota State,2.1,.415,.933,35,27.1,1.0,9.6,2.9
Alex Arians,/cbb/players/alex-arians-1.html,South Dakota State,2.1,.493,.873,35,26.6,4.0,8.1,4.0
