Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CLE,Kyrie Irving,Duke,11,611,20804,14089,2339,3503,.470,.393,.882,34.0,23.1,3.8,5.7,72.0,.166,4.5,34.2
2,2,MIN,Derrick Williams,Arizona,7,428,8864,3809,1693,293,.434,.300,.710,20.7,8.9,4.0,0.7,14.1,.076,-1.6,0.8
3,3,UTA,Enes Freedom,,11,748,16101,8349,5822,638,.548,.289,.777,21.5,11.2,7.8,0.9,52.8,.157,-0.1,7.6
4,4,CLE,Tristan Thompson,Texas,11,730,19556,6592,6120,725,.519,.263,.605,26.8,9.0,8.4,1.0,47.6,.117,-1.7,1.4
5,5,TOR,Jonas Valančiūnas,,10,695,18141,9319,6571,824,.563,.359,.785,26.1,13.4,9.5,1.2,67.4,.178,1.1,14.3
6,6,WAS,Jan Veselý,,3,162,2455,590,562,96,.521,.000,.408,15.2,3.6,3.5,0.6,4.0,.078,-2.6,-0.4
7,7,SAC,Bismack Biyombo,,11,738,14719,3814,4482,442,.530,.000,.564,19.9,5.2,6.1,0.6,29.4,.096,-2.6,-2.2
8,8,DET,Brandon Knight,Kentucky,9,451,13202,6301,1385,1777,.411,.352,.807,29.3,14.0,3.1,3.9,11.6,.042,-1.6,1.4
9,9,CHA,Kemba Walker,UConn,11,741,24666,14414,2815,3919,.418,.360,.840,33.3,19.5,3.8,5.3,59.6,.116,2.8,29.8
10,10,MIL,Jimmer Fredette,BYU,6,241,3213,1438,243,331,.409,.372,.879,13.3,6.0,1.0,1.4,2.2,.033,-2.5,-0.4
11,11,GSW,Klay Thompson,Washington State,9,647,21281,12647,2255,1504,.458,.417,.849,32.9,19.5,3.5,2.3,48.5,.110,0.8,14.9
12,12,UTA,Alec Burks,Colorado,11,625,14379,6649,2210,1264,.418,.380,.799,23.0,10.6,3.5,2.0,26.0,.087,-0.5,5.3
13,13,PHO,Markieff Morris,Kansas,11,715,17724,7822,3714,1153,.446,.341,.777,24.8,10.9,5.2,1.6,27.1,.073,-1.4,2.8
14,14,HOU,Marcus Morris,Kansas,11,718,19451,8921,3298,1085,.435,.377,.773,27.1,12.4,4.6,1.5,36.4,.090,-0.5,7.1
15,15,IND,Kawhi Leonard,San Diego State,10,576,18025,11085,3689,1672,.493,.384,.858,31.3,19.2,6.4,2.9,83.3,.222,6.9,40.4
16,16,PHI,Nikola Vučević,USC,11,741,22869,12553,7731,2037,.494,.348,.757,30.9,16.9,10.4,2.7,58.9,.124,2.2,24.3
17,17,NYK,Iman Shumpert,Georgia Tech,10,461,11470,3320,1534,845,.391,.337,.764,24.9,7.2,3.3,1.8,12.9,.054,-1.7,0.9
18,18,WAS,Chris Singleton,Florida State,3,148,2605,612,472,92,.376,.319,.633,17.6,4.1,3.2,0.6,2.3,.042,-3.2,-0.8
19,19,CHA,Tobias Harris,Tennessee,11,753,23618,12313,4660,1728,.476,.367,.828,31.4,16.4,6.2,2.3,58.4,.119,1.1,18.3
20,20,MIN,Donatas Motiejūnas,,6,251,4566,1832,952,269,.469,.300,.597,18.2,7.3,3.8,1.1,7.1,.075,-2.5,-0.5
21,21,POR,Nolan Smith,Duke,2,84,829,277,83,97,.371,.260,.714,9.9,3.3,1.0,1.2,-0.8,-.047,-6.0,-0.8
22,22,DEN,Kenneth Faried,Morehead State University,8,478,11728,5430,3884,470,.546,.222,.654,24.5,11.4,8.1,1.0,38.8,.159,0.5,7.5
23,23,HOU,Nikola Mirotić,,5,319,7718,3910,1894,407,.423,.359,.808,24.2,12.3,5.9,1.3,20.8,.129,1.6,7.1
24,24,OKC,Reggie Jackson,Boston College,11,703,18001,9183,2122,3020,.424,.345,.854,25.6,13.1,3.0,4.3,33.5,.089,0.0,9.1
25,25,BOS,MarShon Brooks,Providence,5,200,3456,1592,424,282,.447,.345,.751,17.3,8.0,2.1,1.4,3.3,.046,-1.6,0.4
26,26,DAL,Jordan Hamilton,Texas,5,151,2100,890,429,127,.408,.357,.670,13.9,5.9,2.8,0.8,3.0,.069,-0.1,1.0
27,27,NJN,JaJuan Johnson,Purdue,1,36,298,114,58,6,.446,,.667,8.3,3.2,1.6,0.2,0.2,.032,-3.9,-0.1
28,28,CHI,Norris Cole,Cleveland State University,6,360,8018,2506,702,981,.407,.324,.743,22.3,7.0,2.0,2.7,3.0,.018,-4.1,-4.1
29,29,SAS,Cory Joseph,Texas,11,728,16161,5161,1884,2186,.444,.344,.787,22.2,7.1,2.6,3.0,28.7,.085,-1.1,3.9
30,30,CHI,Jimmy Butler,Marquette,11,690,22864,12222,3658,2836,.460,.321,.841,33.1,17.7,5.3,4.1,93.6,.196,4.7,38.3
31,31,MIA,Bojan Bogdanović,,8,603,17519,9043,2184,945,.457,.392,.861,29.1,15.0,3.6,1.6,33.0,.090,-0.9,4.8
32,32,CLE,Justin Harper,Richmond,3,22,150,45,18,4,.340,.276,.333,6.8,2.0,0.8,0.2,-0.3,-.093,-8.7,-0.2
33,33,DET,Kyle Singler,Duke,6,356,7794,2326,1026,272,.418,.362,.786,21.9,6.5,2.9,0.8,10.0,.062,-2.5,-0.9
34,34,WAS,Shelvin Mack,Butler,8,456,8392,2997,894,1421,.423,.330,.731,18.4,6.6,2.0,3.1,10.3,.059,-1.9,0.1
35,35,SAC,Tyler Honeycutt,UCLA,2,24,120,28,24,9,.314,.200,.714,5.0,1.2,1.0,0.4,-0.1,-.049,-5.1,-0.1
36,36,NJN,Jordan Williams,Maryland,1,43,635,197,156,11,.507,,.652,14.8,4.6,3.6,0.3,1.3,.101,-2.1,0.0
37,37,LAC,Trey Thompkins,Georgia,1,24,119,57,24,3,.393,.308,.714,5.0,2.4,1.0,0.1,0.0,.004,-5.7,-0.1
38,38,HOU,Chandler Parsons,Florida,9,440,13246,5571,1972,1201,.462,.373,.713,30.1,12.7,4.5,2.7,28.9,.105,1.1,10.2
39,39,CHA,Jeremy Tyler,,3,104,1034,373,269,25,.450,.000,.557,9.9,3.6,2.6,0.2,0.3,.014,-7.0,-1.3
40,40,MIL,Jon Leuer,Wisconsin,8,377,5945,2395,1426,301,.484,.328,.767,15.8,6.4,3.8,0.8,13.2,.107,-0.7,2.0
41,41,LAL,Darius Morris,Michigan,4,132,1464,430,126,189,.384,.322,.630,11.1,3.3,1.0,1.4,-0.3,-.010,-5.1,-1.2
42,42,IND,Dāvis Bertāns,,6,387,7380,3165,1045,392,.424,.398,.860,19.1,8.2,2.7,1.0,16.8,.110,0.4,4.5
43,43,CHI,Malcolm Lee,UCLA,3,36,534,140,65,51,.382,.294,.703,14.8,3.9,1.8,1.4,0.4,.040,-2.5,-0.1
44,44,GSW,Charles Jenkins,Hofstra,2,110,1334,408,100,214,.434,.182,.754,12.1,3.7,0.9,1.9,0.5,.017,-4.5,-0.8
45,45,NOH,Josh Harrellson,Kentucky,3,75,888,265,227,26,.438,.347,.629,11.8,3.5,3.0,0.3,2.1,.116,-0.4,0.4
46,46,LAL,Andrew Goudelock,College of Charleston,3,49,475,197,34,24,.393,.345,.875,9.7,4.0,0.7,0.5,0.0,.003,-5.0,-0.3
47,47,LAC,Travis Leslie,Georgia,1,10,45,14,9,5,.357,,.444,4.5,1.4,0.9,0.5,0.1,.060,-0.3,0.0
48,48,ATL,Keith Benson,Oakland,1,3,9,0,3,0,.000,,,3.0,0.0,1.0,0.0,0.0,-.005,-7.7,0.0
49,49,MEM,Josh Selby,Kansas,2,38,296,83,20,34,.330,.143,.720,7.8,2.2,0.5,0.9,-0.7,-.113,-9.5,-0.6
50,50,PHI,Lavoy Allen,Temple,6,388,6905,1847,1843,384,.471,.133,.682,17.8,4.8,4.8,1.0,13.8,.096,-2.1,-0.1
51,51,POR,Jon Diebler,Ohio State,,,,,,,,,,,,,,,,,
52,52,DET,Vernon Macklin,Florida,1,23,135,46,34,5,.543,,.571,5.9,2.0,1.5,0.2,0.5,.161,1.2,0.1
53,53,ORL,DeAndre Liggins,Kentucky,5,177,1907,346,252,122,.402,.352,.549,10.8,2.0,1.4,0.7,1.6,.040,-2.2,-0.1
54,54,CLE,Milan Mačvan,,,,,,,,,,,,,,,,,,
55,55,BOS,E'Twaun Moore,Purdue,10,598,12564,4743,1208,1055,.455,.388,.742,21.0,7.9,2.0,1.8,14.8,.057,-1.9,0.2
56,56,LAL,Chukwudiebere Maduabum,,,,,,,,,,,,,,,,,,
57,57,DAL,Tanguy Ngombo,,,,,,,,,,,,,,,,,,
58,58,LAL,Ater Majok,,,,,,,,,,,,,,,,,,
59,59,SAS,Ádám Hanga,,,,,,,,,,,,,,,,,,
60,60,SAC,Isaiah Thomas,Washington,11,550,15563,9715,1321,2638,.434,.362,.872,28.3,17.7,2.4,4.8,45.3,.140,2.1,16.1